id	text	title
1	Marie Curie was a Polish-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize and the only person to win Nobel Prizes in two different sciences, Physics in 1903 and Chemistry in 1911.	Marie Curie
2	Albert Einstein was a German-born theoretical physicist who is widely considered one of the greatest and most influential scientists of all time. He developed the theory of relativity. He was awarded the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect.	Albert Einstein
3	The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower. Constructed from 1887 to 1889, it was initially criticised by some of France's leading artists and intellectuals.	Eiffel Tower
4	William Shakespeare was an English playwright, poet and actor. He is widely regarded as the greatest writer in the English language and the world's greatest dramatist. He is often called England's national poet and the Bard of Avon. His works, consisting of some 39 plays, 154 sonnets and a few longer poems, have been translated into every major language.	William Shakespeare
5	The Amazon rainforest, also known as Amazonia, is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America. It represents over half of the planet's remaining rainforests and comprises the largest and most biodiverse tract of tropical rainforest in the world.	Amazon rainforest
6	Isaac Newton was an English mathematician, physicist, astronomer, alchemist, theologian, and author who was a key figure in the Scientific Revolution and the Enlightenment. He formulated the laws of motion and universal gravitation that formed the dominant scientific viewpoint for centuries.	Isaac Newton
7	The Great Wall of China is a series of fortifications that were built across the historical northern borders of ancient Chinese states and Imperial China as protection against various nomadic groups. Several walls have been built since as early as the 7th century BC with selective stretches later joined together.	Great Wall of China
8	Leonardo da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. He is widely considered one of the greatest painters of all time. The Mona Lisa is the most famous of his works.	Leonardo da Vinci
9	The Roman Empire was the post-Republican period of ancient Rome. It included large territorial holdings around the Mediterranean Sea in Europe, Northern Africa, and Western Asia, and was ruled by emperors. At its territorial peak, the Roman Empire encompassed 5 million square kilometres.	Roman Empire
10	Cleopatra VII Philopator was Queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BC, and its last active ruler. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general. Cleopatra was educated and spoke several languages.	Cleopatra
11	The theory of evolution by natural selection was proposed by Charles Darwin in his 1859 book On the Origin of Species. Darwin observed that individuals within a population vary in their traits, and that some variations are inherited by offspring.	Charles Darwin
12	The Black Death was a bubonic plague pandemic occurring in western Eurasia and North Africa from 1346 to 1353. It is the most fatal pandemic recorded in human history, causing the death of up to 50–60% of Europe's population in its wake.	Black Death
13	Galileo Galilei was an Italian astronomer, physicist and engineer. He has been called the father of observational astronomy, modern natural philosophy, and modern physics. Galileo is credited with introducing the telescope for astronomy and observational studies of the satellites of Jupiter.	Galileo Galilei
14	The Sistine Chapel ceiling, painted by Michelangelo between 1508 and 1512, is a cornerstone work of High Renaissance art. The ceiling is painted with nine scenes from the Book of Genesis, the most famous being The Creation of Adam.	Sistine Chapel
15	Napoleon Bonaparte was a French military commander and political leader who rose to prominence during the French Revolution and led several successful campaigns during the Revolutionary Wars. He was the de facto leader of the French Republic as First Consul, then Emperor of the French.	Napoleon Bonaparte
16	The Mongol Empire was the largest contiguous land empire in history, spanning from Eastern Europe and parts of West Asia across Central Asia to the Sea of Japan, extending northward into parts of the Arctic. Genghis Khan founded it in 1206.	Mongol Empire
17	Nikola Tesla was a Serbian-American inventor, electrical engineer, mechanical engineer, and futurist best known for his contributions to the design of the modern alternating current (AC) electricity supply system.	Nikola Tesla
18	The French Revolution was a period of radical political and societal change in France that began with the Estates General of 1789 and ended with the formation of the French Consulate in November 1799. Many of its ideas are considered fundamental principles of liberal democracy.	French Revolution
19	Wolfgang Amadeus Mozart was a prolific and influential composer of the Classical period. Despite his short life, his rapid pace of composition resulted in more than 800 works representing virtually every Western classical genre of his time. The Magic Flute and Don Giovanni are among his famous operas.	Wolfgang Amadeus Mozart
20	The Industrial Revolution was the transition to new manufacturing processes in Great Britain, continental Europe, and the United States, from about 1760 to 1840. This transition included going from hand production methods to machines, new chemical manufacturing, and iron production processes.	Industrial Revolution
